[2026-02-06 21:54:41.821] [Info       ] [线程 18:.NET TP Worker ] [AccessibilityDiag   ] Pulse burst=True stall=False marker=SelectionChanged index=578 delta[notify=0, winEvent=0, setProp=0, selChanged=29, selApply=4, suppressed=0, flushNav=0] probeNvda=off self=n/a nvda=n/a
[2026-02-06 21:54:42.821] [Info       ] [线程 20:.NET TP Worker ] [AccessibilityDiag   ] Pulse burst=True stall=False marker=SelectionChanged index=608 delta[notify=0, winEvent=0, setProp=0, selChanged=30, selApply=3, suppressed=0, flushNav=0] probeNvda=off self=n/a nvda=n/a
[2026-02-06 21:55:11.820] [Info       ] [线程 18:.NET TP Worker ] [AccessibilityDiag   ] Pulse burst=True stall=False marker=SelectionChanged index=4 delta[notify=0, winEvent=0, setProp=3, selChanged=4, selApply=3, suppressed=0, flushNav=0] probeNvda=off self=n/a nvda=n/a
[2026-02-06 21:55:12.821] [Info       ] [线程 20:.NET TP Worker ] [AccessibilityDiag   ] Pulse burst=True stall=False marker=SelectionChanged index=34 delta[notify=0, winEvent=0, setProp=1, selChanged=30, selApply=3, suppressed=0, flushNav=0] probeNvda=off self=n/a nvda=n/a
[2026-02-06 21:55:13.819] [Info       ] [线程 20:.NET TP Worker ] [AccessibilityDiag   ] Pulse burst=True stall=False marker=SelectionChanged index=62 delta[notify=0, winEvent=0, setProp=5, selChanged=28, selApply=4, suppressed=0, flushNav=0] probeNvda=off self=n/a nvda=n/a
[2026-02-06 21:55:14.819] [Info       ] [线程  9:.NET TP Worker ] [AccessibilityDiag   ] Pulse burst=True stall=False marker=SelectionChanged index=93 delta[notify=0, winEvent=0, setProp=0, selChanged=31, selApply=4, suppressed=0, flushNav=0] probeNvda=off self=n/a nvda=n/a
[2026-02-06 21:55:15.820] [Info       ] [线程 14:.NET TP Worker ] [AccessibilityDiag   ] Pulse burst=True stall=False marker=SelectionChanged index=119 delta[notify=0, winEvent=0, setProp=1, selChanged=26, selApply=3, suppressed=0, flushNav=1] probeNvda=off self=n/a nvda=n/a
[2026-02-06 21:55:16.819] [Info       ] [线程 19:.NET TP Worker ] [AccessibilityDiag   ] Pulse burst=True stall=False marker=SelectionChanged index=149 delta[notify=0, winEvent=0, setProp=0, selChanged=30, selApply=4, suppressed=0, flushNav=0] probeNvda=off self=n/a nvda=n/a
[2026-02-06 21:55:17.819] [Info       ] [线程 18:.NET TP Worker ] [AccessibilityDiag   ] Pulse burst=True stall=False marker=SelectionChanged index=180 delta[notify=0, winEvent=0, setProp=0, selChanged=31, selApply=4, suppressed=0, flushNav=0] probeNvda=off self=n/a nvda=n/a
[2026-02-06 21:55:18.819] [Info       ] [线程 10:.NET TP Worker ] [AccessibilityDiag   ] Pulse burst=True stall=False marker=SelectionChanged index=210 delta[notify=0, winEvent=0, setProp=0, selChanged=30, selApply=4, suppressed=0, flushNav=0] probeNvda=off self=n/a nvda=n/a
